Loaded config/swe_rest.py!
Starting simulation with N=100...
Error at N=100 is 16.4664807275
0.125 3.0000000000007727 24.000000000000007 1.9999999996432152 23.999999996323247 -8.023378137447364e-69
0.375 3.0000000000007736 24.000000000000007 2.000000002571266 24.000000020566972 -8.237583357394523e-66
0.625 3.0000000000007736 24.000000000000007 2.0000000008834014 24.00000000700171 -4.960217038783217e-63
0.875 3.0000000000007736 24.000000000000007 1.9999999841267568 23.99999987497701 -2.2389513277987053e-60
1.125 3.0000000000007736 24.000000000000007 2.000000009221057 24.000000098747456 -8.083295968589929e-58
1.375 3.0000000000007736 24.000000000000007 2.000000057321329 24.000000389368367 -2.3927033740792414e-55
1.625 3.000000000000774 24.000000000000007 1.9999999476168013 23.999999500402375 -5.861267598663116e-53
1.875 3.0000000000007736 24.0 1.9999998553305554 23.999999099179114 -1.1883943908134718e-50
2.125 3.000000000000774 24.0 2.0000001100346716 24.000001035508532 -1.976589158084722e-48
2.375 3.0000000000007736 24.0 2.0000002212085475 24.000001330013937 -2.632942317395744e-46
2.625 3.0000000000007736 23.999999999999993 1.9999997929925755 23.999998428088716 -2.638888646042497e-44
2.875 3.0000000000007736 23.999999999999993 1.9999998450942789 23.999999325355205 -1.5796414191572262e-42
3.125 3.0000000000007736 23.999999999999993 2.000001308701217 24.00001009875409 4.567817789604015e-41
3.375 3.0000000000007736 23.999999999999993 2.0000093328864885 24.00007070549965 2.7652750956800404e-38
3.625 3.0000000000007736 23.999999999999993 2.00005738505193 24.00043440366444 4.404258009248603e-36
3.875 3.0000000000007736 23.999999999999993 2.000344527319853 24.002607644282953 4.802503147034089e-34
4.125 3.0000000000007736 23.999999999999993 2.0020459223479725 24.015472102040476 4.0714940949284585e-32
4.375 3.0000000000007736 23.999999999999993 2.0120020520210558 24.090342347674067 2.798298194819873e-30
4.625 3.0000000000007736 23.999999999999993 2.0679985895345756 24.50046108053212 1.5853487713817023e-28
4.875 3.0000000000007736 23.999999999999993 2.3417104977479433 26.33969729489951 7.44089836681967e-27
5.125 3.0000000000007736 23.999999999999993 3.1048859768597428 30.27778608021837 2.8831502816409013e-25
5.375 3.0000000000007736 23.999999999999993 3.466818885283673 31.563404717466398 9.092577194644609e-24
5.625 3.0000000000007736 23.999999999999993 3.5369331293433595 31.781414470044165 2.252142269674823e-22
